hgncid,uniprot_id,protein_names,targetclass,go_function
PPOX,P50336,Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4),Enzyme_all_others,"nucleotide binding; oxygen-dependent protoporphyrinogen oxidase activity; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors; oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor; cofactor binding; flavin adenine dinucleotide binding; coenzyme binding; protoporphyrinogen oxidase activity; nucleoside phosphate binding"
GATA6,Q92908,Transcription factor GATA-6 (GATA-binding factor 6),Transcriptional_Factor_all_others,regulatory region nucleic acid binding; transcription factor binding; kinase binding; protein kinase binding; transcription regulatory region DNA binding
CHMP7,Q8WUX9,Charged multivesicular body protein 7 (Chromatin-modifying protein 7),Other,NA
ZSCAN12,O43309,Zinc finger and SCAN domain-containing protein 12 (Zinc finger protein 305) (Zinc finger protein 96),Transcriptional_Factor_all_others,"""NA"""
DIRC2,Q96SL1,Disrupted in renal carcinoma protein 2 (Disrupted in renal cancer protein 2),Other,NA
CCNE1,P24864,G1/S-specific cyclin-E1,Enzyme_all_others,protein kinase activity; protein serine/threonine kinase activity; cyclin-dependent protein serine/threonine kinase activity; cyclin-dependent protein kinase activity
NARS,O43776,"Asparagine--tRna ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRna synthetase) (AsnRS)",Enzyme_all_others,"aminoacyl-tRNA ligase activity; asparagine-tRNA ligase activity; ligase activity; ligase activity, forming carbon-oxygen bonds; catalytic activity, acting on RNA; catalytic activity, acting on a tRNA"
MSTO1,Q9BUK6,Protein misato homolog 1,Other,NA
SIK2,Q9H0K1,Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2),Kinase_Protein,nucleotide binding; magnesium ion binding; protein kinase activity; protein serine/threonine kinase activity; ATP binding; drug binding; purine nucleotide binding; adenyl nucleotide binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; metal ion binding; carbohydrate derivative binding; nucleoside phosphate binding
LILRB3,O75022,Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a),Other,transmembrane signaling receptor activity
SLC12A2,P55011,Solute carrier family 12 member 2 (Basolateral na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 1),Transporter,cation transmembrane transporter activity; anion transmembrane transporter activity; sodium:potassium:chloride symporter activity; ammonium transmembrane transporter activity; potassium:sodium symporter activity; monovalent inorganic cation transmembrane transporter activity; potassium ion transmembrane transporter activity; sodium ion transmembrane transporter activity; inorganic anion transmembrane transporter activity; chloride transmembrane transporter activity; secondary active transmembrane transporter activity; symporter activity; solute:cation symporter activity; anion:cation symporter activity; solute:sodium symporter activity; anion:sodium symporter activity; cation:chloride symporter activity; sodium:chloride symporter activity; potassium:chloride symporter activity; kinase binding; protein kinase binding; active transmembrane transporter activity; inorganic cation transmembrane transporter activity; metal ion transmembrane transporter activity
TSPAN14,Q8NG11,Tetraspanin-14 (Tspan-14) (DC-TM4F2) (Transmembrane 4 superfamily member 14),Receptor_all_others,NA
ZBTB34,Q8NCN2,Zinc finger and BTB domain-containing protein 34,Transcriptional_Factor_all_others,NA
CASR,P41180,Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1),7TM_all_others,"phosphatidylinositol phospholipase C activity; phospholipase activity; phospholipase C activity; transmembrane signaling receptor activity; G protein-coupled receptor activity; calcium ion binding; phosphoric diester hydrolase activity; lipase activity; amino acid binding; hydrolase activity, acting on ester bonds; carboxylic acid binding; phosphoric ester hydrolase activity; organic acid binding; metal ion binding"
RHOV,Q96L33,Rho-related GTP-binding protein RhoV (CDC42-like GTPase 2) (GTP-binding protein-like 2) (Rho GTPase-like protein ARHV) (Wnt-1 responsive Cdc42 homolog 2) (WRCH-2),Other,NA
CORO6,Q6QEF8,Coronin-6 (Coronin-like protein E) (Clipin-E),Other,"""NA"""
CHCHD6,Q9BRQ6,MICOS complex subunit MIC25 (Coiled-coil-helix cristae morphology protein 1) (Coiled-coil-helix-coiled-coil-helix domain-containing protein 6),Other,NA
EXOC6B,Q9Y2D4,Exocyst complex component 6B (Exocyst complex component Sec15B) (SEC15-like protein 2),Other,"""NA"""
PACSIN2,Q9UNF0,Protein kinase C and casein kinase substrate in neurons protein 2 (Syndapin-2) (Syndapin-II),Other,phospholipid binding; lipid binding; phosphatidic acid binding
RRP15,Q9Y3B9,RRP15-like protein (Ribosomal Rna-processing protein 15),Other,"""NA"""
KIF21B,O75037,Kinesin-like protein KIF21B,Enzyme_all_others,"""NA"""
SV2C,Q496J9,Synaptic vesicle glycoprotein 2C,Transporter,NA
AKT3,Q9Y243,RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2),Kinase_Protein,nucleotide binding; protein kinase activity; protein serine/threonine kinase activity; ATP binding; drug binding; purine nucleotide binding; adenyl nucleotide binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; carbohydrate derivative binding; nucleoside phosphate binding
HCLS1,P14317,Hematopoietic lineage cell-specific protein (Hematopoietic cell-specific LYN substrate 1) (LckBP1) (p75),Transcriptional_Factor_all_others,RNA polymerase II transcription factor binding; transcription factor binding; kinase binding; protein kinase binding
COL7A1,Q02388,Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen),Extracellular_all_others,NA
CFAP100,Q494V2,Cilia- and flagella-associated protein 100 (Coiled-coil domain-containing protein 37),Extracellular_all_others,"""NA"""
ARL6IP5,O75915,PRA1 family protein 3 (ADP-ribosylation factor-like protein 6-interacting protein 5) (ARL-6-interacting protein 5) (Aip-5) (Cytoskeleton-related vitamin A-responsive protein) (Dermal papilla-derived protein 11) (GTRAP3-18) (Glutamate transporter EAAC1-interacting protein) (JM5) (Prenylated Rab acceptor protein 2) (Protein JWa) (Putative MAPK-activating protein PM27),Other,NA
GDPD1,Q8N9F7,Lysophospholipase D GDPD1 (EC 3.1.4.39) (Glycerophosphodiester phosphodiesterase 4) (Glycerophosphodiester phosphodiesterase domain-containing protein 1),Enzyme_Esterase,"""NA"""
SPINT1,O43278,Kunitz-type protease inhibitor 1 (Hepatocyte growth factor activator inhibitor type 1) (HAI-1),Extracellular_all_others,NA
ASMT,P46597,Acetylserotonin O-methyltransferase (EC 2.1.1.4) (Hydroxyindole O-methyltransferase) (HIOMT),Enzyme_Transferase,"methyltransferase activity; O-methyltransferase activity; S-methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; transferase activity, transferring one-carbon groups; acetylserotonin O-methyltransferase activity"
GAB2,Q9UQC2,GRB2-associated-binding protein 2 (GRB2-associated binder 2) (Growth factor receptor bound protein 2-associated protein 2) (pp100),Other,"transmembrane receptor protein tyrosine kinase adaptor activity; 1-phosphatidylinositol-3-kinase activity; kinase binding; protein kinase binding; protein binding, bridging; receptor tyrosine kinase binding; phosphatidylinositol 3-kinase activity; signaling adaptor activity; phosphatidylinositol kinase activity; molecular adaptor activity; protein tyrosine kinase binding"
ELMOD3,Q96FG2,ELMO domain-containing protein 3 (Rna-binding motif and ELMO domain-containing protein 1) (Rna-binding motif protein 29) (Rna-binding protein 29),Other,NA
RSPH14,Q9UHP6,Radial spoke head 14 homolog (Rhabdoid tumor deletion region protein 1),Other,"""NA"""
RPS12,P25398,40S ribosomal protein S12 (Small ribosomal subunit protein eS12),Other,NA
HOXB5,P09067,Homeobox protein Hox-B5 (Homeobox protein HHO.C10) (Homeobox protein Hox-2A) (Homeobox protein Hu-1),Transcriptional_Factor_all_others,NA
FAM205A,Q6ZU69,Protein FAM205A,Other,"""NA"""
MED16,Q9Y2X0,Mediator of Rna polymerase II transcription subunit 16 (Mediator complex subunit 16) (Thyroid hormone receptor-associated protein 5) (Thyroid hormone receptor-associated protein complex 95 kDa component) (Trap95) (Vitamin D3 receptor-interacting protein complex 92 kDa component) (DRIP92),Transcriptional_Factor_all_others,transcription coregulator activity; transcription coactivator activity; transcription factor binding; nuclear receptor transcription coactivator activity; thyroid hormone receptor coactivator activity; nuclear hormone receptor binding; thyroid hormone receptor binding; hormone receptor binding
NRTN,Q99748,Neurturin,Extracellular Ligand,guanyl-nucleotide exchange factor activity; Ras guanyl-nucleotide exchange factor activity; Ras GTPase binding; small GTPase binding; GTPase binding
FCGR2B,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32),Receptor_all_others,amyloid-beta binding; transmembrane signaling receptor activity; immunoglobulin receptor activity; IgG receptor activity; low-affinity IgG receptor activity; IgG binding; immunoglobulin binding; amide binding; peptide binding
QSER1,Q2KHR3,Glutamine and serine-rich protein 1,Other,"""NA"""
PPIL1,Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1),Enzyme_all_others,peptidyl-prolyl cis-trans isomerase activity; drug binding; cyclosporin A binding; isomerase activity; cis-trans isomerase activity; protein domain specific binding; amide binding; peptide binding; disordered domain specific binding
MAST3,O60307,Microtubule-associated serine/threonine-protein kinase 3 (EC 2.7.11.1),Kinase_Protein,NA
ANKRD7,Q92527,Ankyrin repeat domain-containing protein 7 (Testis-specific protein TSA806),Other,NA
TYW1,Q9NV66,S-adenosyl-L-methionine-dependent tRna 4-demethylwyosine synthase (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 1) (tRna wybutosine-synthesizing protein 1 homolog) (tRna-yW-synthesizing protein),Enzyme_all_others,NA
BHLHE22,Q8NFJ8,Class E basic helix-loop-helix protein 22 (bHLHe22) (Class B basic helix-loop-helix protein 5) (bHLHb5) (Trinucleotide repeat-containing gene 20 protein),Transcriptional_Factor_all_others,"""NA"""
GFOD2,Q3B7J2,Glucose-fructose oxidoreductase domain-containing protein 2 (EC 1.-.-.-),Enzyme_all_others,"""NA"""
C9orf170,A2RU37,Uncharacterized protein C9orf170,Other,NA
MRTFA,Q969V6,MKL/myocardin-like protein 1 (Megakaryoblastic leukemia 1 protein) (Megakaryocytic acute leukemia protein) (Myocardin-related transcription factor A) (MRTF-A),Transcriptional_Factor_all_others,actin binding; cytoskeletal protein binding; protein domain specific binding; LRR domain binding; leucine zipper domain binding
SERINC1,Q9NRX5,Serine incorporator 1 (Tumor differentially expressed protein 1-like) (Tumor differentially expressed protein 2),Other,NA
PLEKHM2,Q8IWE5,Pleckstrin homology domain-containing family M member 2 (PH domain-containing family M member 2) (Salmonella-induced filaments A and kinesin-interacting protein) (SifA and kinesin-interacting protein),Other,cytoskeletal protein binding; kinesin binding
SENP2,Q9HC62,Sentrin-specific protease 2 (EC 3.4.22.-) (Axam2) (SMT3-specific isopeptidase 2) (Smt3ip2) (Sentrin/SUMO-specific protease SENP2),Protease,"endopeptidase activity; cysteine-type endopeptidase activity; peptidase activity; cysteine-type peptidase activity; SUMO-specific protease activity; ubiquitin-like protein-specific protease activity; peptidase activity, acting on L-amino acid peptides; ubiquitin-like protein-specific endopeptidase activity; SUMO-specific endopeptidase activity"
RAP1A,P62834,Ras-related protein Rap-1A (C21KG) (G-22K) (GTP-binding protein smg p21A) (Ras-related protein Krev-1),Other,protein transporter activity
SCAF11,Q99590,"Protein SCAF11 (CTD-associated SR protein 11) (Renal carcinoma antigen NY-REN-40) (SC35-interacting protein 1) (SR-related and CTD-associated factor 11) (SRSF2-interacting protein) (Serine/arginine-rich splicing factor 2-interacting protein) (Splicing factor, arginine/serine-rich 2-interacting protein) (Splicing regulatory protein 129) (SRrp129)",Transcriptional_Factor_all_others,NA
C3,P01024,Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2],Extracellular Ligand,"G protein-coupled receptor binding; endopeptidase activity; serine-type endopeptidase activity; peptidase activity; serine-type peptidase activity; serine hydrolase activity; C5a anaphylatoxin chemotactic receptor binding; C5L2 anaphylatoxin chemotactic receptor binding; peptidase activity, acting on L-amino acid peptides"
PLIN1,O60240,Perilipin-1 (Lipid droplet-associated protein),Other,NA
PDS5A,Q29RF7,Sister chromatid cohesion protein PDS5 homolog A (Cell proliferation-inducing gene 54 protein) (Sister chromatid cohesion protein 112) (SCC-112),Transcriptional_Factor_all_others,NA
MAP2K6,P52564,Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3),Kinase_Protein,protein kinase activity; protein serine/threonine kinase activity; MAP kinase kinase activity; protein serine/threonine/tyrosine kinase activity; kinase binding; protein kinase binding
ZSWIM7,Q19AV6,Zinc finger SWIM domain-containing protein 7 (SWIM domain-containing and Srs2-interacting protein 1 homolog) (SWIM-type zinc finger domain-containing protein 7),Transcriptional_Factor_all_others,NA
ORAI2,Q96SN7,Protein orai-2 (CAP-binding protein complex-interacting protein 2) (Transmembrane protein 142B),Ion Channel,NA
ZNF362,Q5T0B9,Zinc finger protein 362,Transcriptional_Factor_all_others,NA
ATP6V1C1,P21283,V-type proton ATPase subunit C 1 (V-ATPase subunit C 1) (Vacuolar proton pump subunit C 1),Transporter,NA
GATM,P50440,"Glycine amidinotransferase, mitochondrial (EC 2.1.4.1) (L-arginine:glycine amidinotransferase) (Transamidinase)",Enzyme_Transferase,"amidinotransferase activity; glycine amidinotransferase activity; transferase activity, transferring one-carbon groups; transferase activity, transferring nitrogenous groups"
PUF60,Q9UHX1,Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1),Other,NA
GABARAPL1,Q9H0R8,Gamma-aminobutyric acid receptor-associated protein-like 1 (Early estrogen-regulated protein) (GABA(A) receptor-associated protein-like 1) (Glandular epithelial cell protein 1) (GEC-1),Other,transcription factor binding; Tat protein binding; ubiquitin protein ligase binding; ubiquitin-like protein ligase binding
PMP22,Q01453,Peripheral myelin protein 22 (PMP-22) (Growth arrest-specific protein 3) (GAS-3),Other,NA
IL1RN,P18510,Interleukin-1 receptor antagonist protein (IL-1RN) (IL-1ra) (IRAP) (ICIL-1RA) (IL1 inhibitor) (Anakinra),Extracellular Ligand,"cytokine receptor binding; interleukin-1 receptor binding; interleukin-1, type I receptor binding; interleukin-1, type II receptor binding; interleukin-1 receptor antagonist activity; growth factor binding; cytokine binding; interleukin-1 binding; receptor regulator activity; receptor inhibitor activity; interleukin-1 type I receptor antagonist activity; interleukin-1 type II receptor antagonist activity; receptor antagonist activity; growth factor receptor binding"
C1GALT1,Q9NS00,"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (B3Gal-T8) (Core 1 O-glycan T-synthase) (Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1) (Beta-1,3-galactosyltransferase) (Core 1 beta1,3-galactosyltransferase 1) (C1GalT1) (Core 1 beta3-Gal-T1)",Enzyme_Transferase,"galactosyltransferase activity; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity; transferase activity, transferring glycosyl groups; transferase activity, transferring hexosyl groups; beta-1,3-galactosyltransferase activity; catalytic activity, acting on a glycoprotein"
MYEF2,Q9P2K5,Myelin expression factor 2 (MEF-2) (MyEF-2) (MST156),Other,"""NA"""
ZNF264,O43296,Zinc finger protein 264,Transcriptional_Factor_all_others,NA
EIF5,P55010,Eukaryotic translation initiation factor 5 (eIF-5),Other,"GTPase activity; translation factor activity, RNA binding; pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; nucleoside-triphosphatase activity"
ZNF593,O00488,Zinc finger protein 593 (Zinc finger protein T86),Transcriptional_Factor_all_others,NA
YLPM1,P49750,YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113),Transcriptional_Factor_all_others,"""NA"""
C16orf86,Q6ZW13,Uncharacterized protein C16orf86,Other,NA
NEK7,Q8TDX7,Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7),Kinase_Protein,NA
MPG,P29372,Dna-3-methyladenine glycosylase (EC 3.2.2.21) (3-alkyladenine Dna glycosylase) (3-methyladenine Dna glycosidase) (ADPG) (N-methylpurine-Dna glycosylase),Other,"damaged DNA binding; hydrolase activity, acting on glycosyl bonds; hydrolase activity, hydrolyzing N-glycosyl compounds; DNA N-glycosylase activity; catalytic activity, acting on DNA"
RGS14,O43566,Regulator of G-protein signaling 14 (RGS14),Other,GDP-dissociation inhibitor activity; GTPase activator activity; microtubule binding; enzyme activator activity; cytoskeletal protein binding; tubulin binding; enzyme regulator activity; GTPase regulator activity; nucleoside-triphosphatase regulator activity
PHLDB3,Q6NSJ2,Pleckstrin homology-like domain family B member 3,Other,NA
DHH,O43323,Desert hedgehog protein (DHH) (HHG-3) [Cleaved into: Desert hedgehog protein N-product; Desert hedgehog protein C-product],Protease,calcium ion binding; zinc ion binding; metal ion binding; transition metal ion binding
CATSPERE,Q5SY80,Cation channel sperm-associated protein subunit epsilon (CatSper-epsilon) (CatSperepsilon),Other,NA
SRPRA,P08240,Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha),Enzyme_all_others,NA
FCRL3,Q96P31,Fc receptor-like protein 3 (FcR-like protein 3) (FcRL3) (Fc receptor homolog 3) (FcRH3) (IFGP family protein 3) (hIFGP3) (Immune receptor translocation-associated protein 3) (SH2 domain-containing phosphatase anchor protein 2) (CD antigen CD307c),Receptor_all_others,kinase binding; protein kinase binding; phosphatase binding; protein phosphatase binding; protein tyrosine kinase binding
UQCC3,Q6UW78,Ubiquinol-cytochrome-c reductase complex assembly factor 3 (Assembly factor CBP4 homolog),Other,phospholipid binding; lipid binding; phosphatidic acid binding; phosphatidylglycerol binding; cardiolipin binding
MEDAG,Q5VYS4,Mesenteric estrogen-dependent adipogenesis protein (Activated in W/Wv mouse stomach 3 homolog) (hAWMS3) (Mesenteric estrogen-dependent adipose 4) (MEDA-4),Other,NA
HUS1B,Q8NHY5,Checkpoint protein HUS1B (hHUS1B),Other,"""NA"""
ZNF514,Q96K75,Zinc finger protein 514,Transcriptional_Factor_all_others,NA
PIAS2,O75928,E3 SUMO-protein ligase PIAS2 (EC 2.3.2.-) (Androgen receptor-interacting protein 3) (ARIP3) (DAB2-interacting protein) (DIP) (E3 SUMO-protein transferase PIAS2) (Msx-interacting zinc finger protein) (Miz1) (PIAS-NY protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2),Transcriptional_Factor_all_others,transcription factor binding; ubiquitin-like protein transferase activity; SUMO transferase activity; ubiquitin-like protein ligase activity; SUMO ligase activity
ZNF431,Q8TF32,Zinc finger protein 431,Transcriptional_Factor_all_others,"""NA"""
MLC1,Q15049,Membrane protein MLC1,Transporter,"""NA"""
SHOC2,Q9UQ13,Leucine-rich repeat protein SHOC-2 (Protein soc-2 homolog) (Protein sur-8 homolog),Other,protein phosphatase 1 binding; phosphatase regulator activity; protein phosphatase regulator activity; phosphatase binding; protein phosphatase binding; enzyme regulator activity
LOXL1,Q08397,Lysyl oxidase homolog 1 (EC 1.4.3.-) (Lysyl oxidase-like protein 1) (LOL),Enzyme_all_others,"""NA"""
HDX,Q7Z353,Highly divergent homeobox,Transcriptional_Factor_all_others,"""NA"""
RBP1,P09455,Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I),Transporter,retinoid binding; lipid binding; isoprenoid binding; retinol binding; vitamin binding; alcohol binding; all-trans-retinol binding
SERINC1,Q9NRX5,Serine incorporator 1 (Tumor differentially expressed protein 1-like) (Tumor differentially expressed protein 2),Other,"""NA"""
VGLL4,Q14135,Transcription cofactor vestigial-like protein 4 (Vgl-4),Other,NA
MAN1A1,P33908,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA (EC 3.2.1.113) (Man(9)-alpha-mannosidase) (Man9-mannosidase) (Mannosidase alpha class 1A member 1) (Processing alpha-1,2-mannosidase IA) (Alpha-1,2-mannosidase IA)",Enzyme_all_others,"hydrolase activity, hydrolyzing O-glycosyl compounds; alpha-mannosidase activity; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity; mannosidase activity; mannosyl-oligosaccharide mannosidase activity; hydrolase activity, acting on glycosyl bonds"
DACH1,Q9UI36,Dachshund homolog 1 (Dach1),Transcriptional_Factor_all_others,"transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; DNA-binding transcription repressor activity, RNA polymerase II-specific; double-stranded DNA binding; transcription regulatory region DNA binding; sequence-specific double-stranded DNA binding"
TMEM258,P61165,Transmembrane protein 258,Other,NA
GPR63,Q9BZJ6,Probable G-protein coupled receptor 63 (PSP24-2) (PSP24-beta),7TM_Group1,NA
HMCES,Q96FZ2,Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein (ES cell-specific 5hmC-binding protein) (Putative peptidase SRAPD1) (EC 3.4.-.-) (SRAP domain-containing protein 1),Other,NA
DEFB1,P60022,"Beta-defensin 1 (BD-1) (hBD-1) (Defensin, beta 1)",Extracellular_all_others,G protein-coupled receptor binding; cytokine receptor binding; CCR6 chemokine receptor binding; chemokine receptor binding; CCR chemokine receptor binding
FAM180B,Q6P0A1,Protein FAM180B,Other,NA
WNT8A,Q9H1J5,Protein Wnt-8a (Protein Wnt-8d),Extracellular Ligand,receptor regulator activity; receptor ligand activity
SLC4A1AP,Q9BWU0,Kanadaptin (Human lung cancer oncogene 3 protein) (HLC-3) (Kidney anion exchanger adapter protein) (Solute carrier family 4 anion exchanger member 1 adapter protein),Other,"""NA"""
PTPN21,Q16825,Tyrosine-protein phosphatase non-receptor type 21 (EC 3.1.3.48) (Protein-tyrosine phosphatase D1),Enzyme_all_others,"""NA"""
SLC16A12,Q6ZSM3,Monocarboxylate transporter 12 (MCT 12) (Creatine transporter 2) (CRT2) (Solute carrier family 16 member 12),Transporter,creatine transmembrane transporter activity; organic acid transmembrane transporter activity; anion transmembrane transporter activity; organic anion transmembrane transporter activity; amino acid transmembrane transporter activity; drug transmembrane transporter activity; carboxylic acid transmembrane transporter activity; cofactor transmembrane transporter activity; modified amino acid transmembrane transporter activity
RRNAD1,Q96FB5,Protein RRnaD1 (Ribosomal Rna adenine dimethylase domain-containing protein 1),Other,"""NA"""
TDRD7,Q8NHU6,Tudor domain-containing protein 7 (PCTAIRE2-binding protein) (Tudor repeat associator with PCTAIRE-2) (Trap),Other,mRNA binding
SPATA33,Q96N06,Spermatogenesis-associated protein 33,Other,NA
ZFAT,Q9P243,Zinc finger protein ZFAT (Zinc finger gene in AITD susceptibility region) (Zinc finger protein 406),Transcriptional_Factor_all_others,"""NA"""
HIVEP2,P31629,Transcription factor HIVEP2 (Human immunodeficiency virus type I enhancer-binding protein 2) (HIV-EP2) (MHC-binding protein 2) (MBP-2),Transcriptional_Factor_all_others,NA
CEND1,Q8N111,Cell cycle exit and neuronal differentiation protein 1 (BM88 antigen),Other,"""NA"""
MRPL37,Q9BZE1,"39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37) (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein mL37)",Other,NA
NTRK2,Q16620,BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Tropomyosin-related kinase B),Kinase_Protein,growth factor binding; neurotrophin binding
EZH1,Q92800,Histone-lysine N-methyltransferase EZH1 (EC 2.1.1.43) (ENX-2) (Enhancer of zeste homolog 1),Transcriptional_Factor_all_others,"""NA"""
PHF21B,Q96EK2,PHD finger protein 21B,Transcriptional_Factor_all_others,NA
CCDC40,Q4G0X9,Coiled-coil domain-containing protein 40,Other,"""NA"""
AP4E1,Q9UPM8,AP-4 complex subunit epsilon-1 (AP-4 adaptor complex subunit epsilon) (Adaptor-related protein complex 4 subunit epsilon-1) (Epsilon subunit of AP-4) (Epsilon-adaptin),Other,"""NA"""
IFT57,Q9NWB7,Intraflagellar transport protein 57 homolog (Dermal papilla-derived protein 8) (Estrogen-related receptor beta-like protein 1) (HIP1-interacting protein) (MHS4R2),Other,NA
MRPL11,Q9Y3B7,"39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11) (Mitochondrial large ribosomal subunit protein uL11m)",Other,NA
KCNK10,P57789,Potassium channel subfamily K member 10 (Outward rectifying potassium channel protein TREK-2) (TREK-2 K(+) channel subunit),Ion Channel,ion channel activity; cation channel activity; potassium channel activity; cation transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; potassium ion transmembrane transporter activity; channel activity; passive transmembrane transporter activity; substrate-specific channel activity; inorganic cation transmembrane transporter activity; metal ion transmembrane transporter activity
SFTA2,Q6UW10,Surfactant-associated protein 2 (Surfactant-associated protein G) (SP-G),Extracellular_all_others,"""NA"""
KPNA6,O60684,Importin subunit alpha-7 (Karyopherin subunit alpha-6),Other,NA
CCDC38,Q502W7,Coiled-coil domain-containing protein 38,Other,NA
PHC1,P78364,Polyhomeotic-like protein 1 (hPH1) (Early development regulatory protein 1),Transcriptional_Factor_all_others,"""NA"""
LRWD1,Q9UFC0,Leucine-rich repeat and WD repeat-containing protein 1 (Centromere protein 33) (CENP-33) (Origin recognition complex-associated protein) (ORC-associated protein) (ORCA),Other,nucleotide binding; chromatin binding; methyl-CpG binding; methylated histone binding; histone binding; modification-dependent protein binding; methylation-dependent protein binding; nucleoside phosphate binding
PTBP3,O95758,Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1),Other,NA
CXXC1,Q9P0U4,CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1),Transcriptional_Factor_all_others,"methyltransferase activity; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; lysine N-methyltransferase activity; protein-lysine N-methyltransferase activity; transferase activity, transferring one-carbon groups; histone-lysine N-methyltransferase activity; histone methyltransferase activity; histone methyltransferase activity (H3-K4 specific); unmethylated CpG binding"
PROX1,Q92786,Prospero homeobox protein 1 (Homeobox prospero-like protein PROX1) (PROX-1),Transcriptional_Factor_all_others,regulatory region nucleic acid binding; transcription coregulator activity; transcription corepressor activity; transcription factor binding; nuclear receptor binding; protein domain specific binding; nuclear hormone receptor binding; transcription regulatory region DNA binding; DBD domain binding; LBD domain binding; hormone receptor binding
